email,box_name,start_date,payment_date,payment_method,amount
user17@example.com,Books_Box_6,2025-04-19,2025-04-19,paypal,43.63
user17@example.com,Books_Box_6,2025-04-19,2025-05-19,paypal,37.88
user18@example.com,Books_Box_6,2024-11-01,2024-11-01,paypal,40.94
user18@example.com,Books_Box_6,2024-11-01,2024-12-01,card,47.15
user18@example.com,Books_Box_6,2024-11-01,2024-12-31,card,40.36
user18@example.com,Beauty_Box_8,2024-09-30,2024-09-30,card,38.1
user18@example.com,Beauty_Box_8,2024-09-30,2024-10-30,paypal,46.42
user18@example.com,Beauty_Box_8,2024-09-30,2024-11-29,paypal,17.22
user18@example.com,Beauty_Box_5,2024-10-21,2024-10-21,paypal,43.75
user19@example.com,Beauty_Box_2,2024-06-10,2024-06-10,paypal,41.77
user19@example.com,Beauty_Box_2,2024-06-10,2024-07-10,card,47.72
user19@example.com,Beauty_Box_2,2024-06-10,2024-08-09,card,19.34
user19@example.com,Beauty_Box_8,2024-11-10,2024-11-10,card,41.79
user19@example.com,Fitness_Box_3,2024-12-06,2024-12-06,card,38.97
user19@example.com,Fitness_Box_3,2024-12-06,2025-01-05,paypal,41.22
user19@example.com,Fitness_Box_3,2024-12-06,2025-02-04,card,15.93
